Number,Sub-Asset Class,Asset Class Category,Asset Class,Canva Groupings
1,Alternative Risk Premia,Alts - HFs,Alternatives,Alts - Hedge Funds
2,Equity Market Neutral,Alts - HFs,Alternatives,Alts - Hedge Funds
3,Event-Driven - Activist,Alts - HFs,Alternatives,Alts - Hedge Funds
4,Event-Driven - Distressed,Alts - HFs,Alternatives,Alts - Hedge Funds
5,Event-Driven - Merger Arbitrage,Alts - HFs,Alternatives,Alts - Hedge Funds
6,Event-Driven - Special Sits,Alts - HFs,Alternatives,Alts - Hedge Funds
7,Global Macro - Discretionary Thematic,Alts - HFs,Alternatives,Alts - Hedge Funds
8,Global Macro - Systematic Diversified/CTAs/Directional,Alts - HFs,Alternatives,Alts - Hedge Funds
9,Hedge Funds/Liquid Alts/Absolute Return,Alts - HFs,Alternatives,Alts - Hedge Funds
10,L/S Credit,Alts - HFs,Alternatives,Alts - Hedge Funds
11,L/S Equity (Equity Hedge),Alts - HFs,Alternatives,Alts - Hedge Funds
12,Multi-Strategy Hedge Funds,Alts - HFs,Alternatives,Alts - Hedge Funds
13,Relative Value - FI Asset-Backed,Alts - HFs,Alternatives,Alts - Hedge Funds
14,Relative Value - FI Convertible Arbitrage,Alts - HFs,Alternatives,Alts - Hedge Funds
15,Relative Value - FI Corporate,Alts - HFs,Alternatives,Alts - Hedge Funds
16,Relative Value - FI EM,Alts - HFs,Alternatives,Alts - Hedge Funds
17,Relative Value - FI Sovereign,Alts - HFs,Alternatives,Alts - Hedge Funds
18,Relative Value - FI Volatility/Macro Arb/Global Macro,Alts - HFs,Alternatives,Alts - Hedge Funds
19,Structured Products,Alts - HFs,Alternatives,Alts - Hedge Funds
20,PD - Asset-Based/Asset-Backed,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
21,PD - Co-Investments,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
22,PD - Direct Lending,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
23,PD - Middle Market,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
24,PD - Opportunistic Credit,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
25,PD - PIKs,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
26,PD - Secondaries,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
27,PD - Senior Secured,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
28,PD - Speciality Finance/Distressed/Special Situations,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
29,PD - SRTs,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
30,PD - Structured Credit,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
31,Private Credit/Debt,Alts - Private Credit,Alternatives,Alts - Private Equity & Credit
32,PE - AI,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
33,PE - Asia,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
34,PE - Buyout,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
35,PE - Carve-outs,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
36,PE - Co-Investments,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
37,PE - Direct Deals,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
38,PE - Emerging/Non-AI,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
39,PE - Europe,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
40,PE - Evergreen,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
41,PE - Growth,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
42,PE - Large Funds,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
43,PE - M&A,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
44,PE - Middle Market,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
45,PE - North America,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
46,PE - Point Solutions,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
47,PE - Secondaries,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
48,PE - Start Up/Speculative,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
49,PE - Take privates,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
50,PE - UK,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
51,PE - Venture Capital,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
52,Private Equity,Alts - Private Equity,Alternatives,Alts - Private Equity & Credit
53,Data Centers,Alts - Infrastructure,Alternatives,Alts - Real Assets
54,Infra - Digital,Alts - Infrastructure,Alternatives,Alts - Real Assets
55,Infra - Renewables/Decarb,Alts - Infrastructure,Alternatives,Alts - Real Assets
56,Infra Debt,Alts - Infrastructure,Alternatives,Alts - Real Assets
57,Infrastructure - Value-Add,Alts - Infrastructure,Alternatives,Alts - Real Assets
58,Private Infrastructure,Alts - Infrastructure,Alternatives,Alts - Real Assets
59,Private Infrastructure - Large-Cap,Alts - Infrastructure,Alternatives,Alts - Real Assets
60,Private Infrastructure - Mid-Cap,Alts - Infrastructure,Alternatives,Alts - Real Assets
61,CMBS,Alts - Real Estate,Alternatives,Alts - Real Assets
62,Private Real Estate,Alts - Real Estate,Alternatives,Alts - Real Assets
63,RE - Alternative,Alts - Real Estate,Alternatives,Alts - Real Assets
64,RE - Commercial,Alts - Real Estate,Alternatives,Alts - Real Assets
65,RE - Core,Alts - Real Estate,Alternatives,Alts - Real Assets
66,RE - Energy Efficient,Alts - Real Estate,Alternatives,Alts - Real Assets
67,RE - Healthcare/Medical,Alts - Real Estate,Alternatives,Alts - Real Assets
68,RE - Hospitality,Alts - Real Estate,Alternatives,Alts - Real Assets
69,RE - Hotels,Alts - Real Estate,Alternatives,Alts - Real Assets
70,RE - Industrials,Alts - Real Estate,Alternatives,Alts - Real Assets
71,RE - Logistics,Alts - Real Estate,Alternatives,Alts - Real Assets
72,RE - Offices,Alts - Real Estate,Alternatives,Alts - Real Assets
73,RE - Offices (Prime),Alts - Real Estate,Alternatives,Alts - Real Assets
74,RE - Offices (Secondary/Non-Prime),Alts - Real Estate,Alternatives,Alts - Real Assets
75,RE - Opportunistic,Alts - Real Estate,Alternatives,Alts - Real Assets
76,RE - Ports,Alts - Real Estate,Alternatives,Alts - Real Assets
77,RE - Residential,Alts - Real Estate,Alternatives,Alts - Real Assets
78,RE - Retail,Alts - Real Estate,Alternatives,Alts - Real Assets
79,RE - Retail (Mid-Mkt),Alts - Real Estate,Alternatives,Alts - Real Assets
80,RE - Retail (Prime),Alts - Real Estate,Alternatives,Alts - Real Assets
81,RE - Storage,Alts - Real Estate,Alternatives,Alts - Real Assets
82,RE - Value Add,Alts - Real Estate,Alternatives,Alts - Real Assets
83,RE Debt,Alts - Real Estate,Alternatives,Alts - Real Assets
84,Real Assets,Asset Allocation - Broad,Alternatives,Alts - Real Assets
85,RE - Canada Residential,Alts - Real - North America,Alternatives,Alts - Real Assets Geo
86,RE - Canada Retail,Alts - Real - North America,Alternatives,Alts - Real Assets Geo
87,RE - AsiaPac,Alts - Real Estate - APAC,Alternatives,Alts - Real Assets Geo
88,RE - AsiaPac Hotels,Alts - Real Estate - APAC,Alternatives,Alts - Real Assets Geo
89,RE - AsiaPac Logistics,Alts - Real Estate - APAC,Alternatives,Alts - Real Assets Geo
90,RE - AsiaPac Offices,Alts - Real Estate - APAC,Alternatives,Alts - Real Assets Geo
